,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Controller,Action
admin::merchandise::wizards::tax_categories,create
admin::merchandise::wizards::tax_categories,index
admin::merchandise::wizards::tax_categories,update
admin::overviews,index
admin::reports::graphs,create
admin::reports::graphs,destroy
admin::reports::graphs,edit
admin::reports::graphs,index
admin::reports::graphs,new
admin::reports::graphs,show
admin::reports::graphs,update
admin::reports::overviews,show
admin::reports::weekly_charts,index
admin::rma::orders,create
admin::rma::orders,destroy
admin::rma::orders,edit
admin::rma::orders,index
admin::rma::orders,new
admin::rma::orders,show
admin::rma::orders,update
admin::rma::return_authorizations,complete
admin::rma::return_authorizations,create
admin::rma::return_authorizations,destroy
admin::rma::return_authorizations,edit
admin::rma::return_authorizations,index
admin::rma::return_authorizations,new
admin::rma::return_authorizations,show
admin::rma::return_authorizations,update
admin::shopping::carts,create
admin::shopping::carts,destroy
admin::shopping::carts,edit
admin::shopping::carts,index
admin::shopping::carts,new
admin::shopping::carts,show
admin::shopping::carts,update
admin::shopping::checkout::billing_addresses,create
admin::shopping::checkout::billing_addresses,index
admin::shopping::checkout::billing_addresses,new
admin::shopping::checkout::billing_addresses,select_address
admin::shopping::checkout::billing_addresses,update
admin::shopping::checkout::credit_cards,create
admin::shopping::checkout::credit_cards,destroy
admin::shopping::checkout::credit_cards,edit
admin::shopping::checkout::credit_cards,index
admin::shopping::checkout::credit_cards,new
admin::shopping::checkout::credit_cards,show
admin::shopping::checkout::credit_cards,update
admin::shopping::checkout::orders,show
admin::shopping::checkout::orders,start_checkout_process
admin::shopping::checkout::orders,update
admin::shopping::checkout::shipping_addresses,create
admin::shopping::checkout::shipping_addresses,index
admin::shopping::checkout::shipping_addresses,new
admin::shopping::checkout::shipping_addresses,select_address
admin::shopping::checkout::shipping_addresses,update
admin::shopping::checkout::shipping_methods,index
admin::shopping::checkout::shipping_methods,update
admin::shopping::products,create
admin::shopping::products,destroy
admin::shopping::products,edit
admin::shopping::products,index
admin::shopping::products,new
admin::shopping::products,show
admin::shopping::products,update
admin::shopping::users,create
admin::shopping::users,destroy
admin::shopping::users,edit
admin::shopping::users,index
admin::shopping::users,new
admin::shopping::users,show
admin::shopping::users,update
admin::user_datas::addresses,create
admin::user_datas::addresses,destroy
admin::user_datas::addresses,edit
admin::user_datas::addresses,index
admin::user_datas::addresses,new
admin::user_datas::addresses,show
admin::user_datas::addresses,update
admin::user_datas::referrals,apply
admin::user_datas::referrals,create
admin::user_datas::referrals,destroy
admin::user_datas::referrals,edit
admin::user_datas::referrals,index
admin::user_datas::referrals,new
admin::user_datas::referrals,show
admin::user_datas::referrals,update
admin::user_datas::store_credits,edit
admin::user_datas::store_credits,show
admin::user_datas::store_credits,update
admin::user_datas::users,create
admin::user_datas::users,destroy
admin::user_datas::users,edit
admin::user_datas::users,index
admin::user_datas::users,new
admin::user_datas::users,show
admin::user_datas::users,update
admin::users,create
admin::users,destroy
admin::users,edit
admin::users,index
admin::users,new
admin::users,show
admin::users,update
customer::activations,show
customer::password_resets,create
customer::password_resets,edit
customer::password_resets,new
customer::password_resets,update
customer::registrations,create
customer::registrations,index
customer::registrations,new
